page_id_pag,page_title,gt_region,lat,lon
13190532,The_Ashley_Centre,NA,51.332,-0.269
51159586,Jthomlinson1/Bell_Pottinger,NA,51.51796944,-0.11212778
51968087,Soiconhoangda/sandbox,WSM,51.50583333,-0.13841667
13328574,Burlington_Estate,NA,51.51027778,-0.14138889
21298171,The_Ram_Folk_Club,NA,51.3823,-0.3414
13402729,Anglo-Belgian_Club,WSM,51.50694444,-0.12611111
13549230,Great_Tower_Street,LND,51.50994444,-0.08138889
13774431,Swan_&_Edgar,NA,51.50985,-0.13523
13821999,Thameside_Radio,KEC,51.5237,-0.2054
13858763,Foster_Lane,LND,51.5155,-0.0964
13874467,Grand_Junction_Isle,SRY,51.40986111,-0.38833333
52882071,Willesden_Brent_Sidings,NA,51.5386,-0.2656
13908923,Q_Theatre,HNS,51.489,-0.2865
14016650,Cuffley_Brook,ENF,51.6743,-0.0787
14092564,Knatts_Valley,NA,51.3332,0.2481
14157564,Lee_Valley_Reservoir_Chain,NA,51.58333333,-0.05
14229667,"Holy_Trinity_Priory,_Aldgate",LND,51.5136,-0.078
14434066,Crowlands_Heath_Golf_Club,NA,51.56712,0.15909
14479156,Haunch_of_Venison,NA,51.5135,-0.1467
22729620,Farringdon_Market,LND,51.5162,-0.1057
15017089,London_Turkish_Radio,HRY,51.59516667,-0.10916667
15097475,Headliners_(charity),TWH,51.52444444,-0.07305556
28115885,Martino_Gamper,NA,51.5345,-0.0564
15131906,Christie's_Education,WSM,51.5219,-0.1422
37601426,Loughton_incinerator_thefts,NA,51.6487,0.0905
11865183,Worsley_Hotel_fire,NA,51.52375,-0.18263889
12795574,North_West_Kent,NA,51.41666667,0.28333333
23511248,Altitude_360,WSM,51.4922,-0.1259
15439630,The_Luminaire,NA,51.5442,-0.201
15515118,Royal_School_of_Naval_Architecture,GRE,51.484,-0.005
15559191,The_Fleming_Collection,WSM,51.5082,-0.1433
15605522,"Montagu_House,_Portman_Square",NA,51.5163,-0.1577
15613657,Kingston_Rural_District,NA,51.381,-0.331
15804955,The_Fortune_of_War_Public_House,NA,51.51716,-0.10157
24651990,Westminster_Pit,NA,51.4971,-0.1333
25062369,Chatley_Heath,BKM,51.31523,-0.438268
25252258,Timothy_Taylor_(gallery),WSM,51.5105,-0.1497
25293274,Mayfair_Studios,NA,51.513507,-0.150126
16136416,Colonnade_Hotel,NA,51.5243,-0.1846
16207931,"Connaught_Place,_London",NA,51.51352778,-0.16191667
16260448,"Wood_Street,_London",NA,51.51616,-0.09428
16266173,Klub_Foot,NA,51.492,-0.225
16259488,Basinghall_Street,NA,51.5157,-0.091
16463658,Dirty_Dick,LND,51.518,-0.0796
16588227,Queen_Anne's_Mansions,NA,51.49959,-0.1343
16598642,Ockham_and_Wisley_Commons,SRY,51.318,-0.458
16598769,Stones_Road_Pond,SRY,51.34,-0.2615
16551220,Connaught_Village,NA,51.51454167,-0.16577778
16693946,Spring_Gardens,WSM,51.5065,-0.1279
16816110,"The_Windmill,_Brixton",NA,51.45383,-0.12191
17032466,"Greengate,_London",NWM,51.528,0.027
5615956,Esher_Urban_District,NA,51.3691,-0.365
26370901,St_Paul_Covent_Garden,WSM,51.51166667,-0.12361111
20925704,Westminster_St_James,WSM,51.50861111,-0.13694444
5018252,Precinct_of_the_Savoy,NA,51.5097,-0.12
26372354,Close_of_the_Collegiate_Church_of_St_Peter,WSM,51.4995,-0.128
11642907,Liberty_of_the_Rolls,WSM,51.515,-0.11111111
17259250,"The_Sports_Ground,_Stompond_Lane",NA,51.37903611,-0.414775
17263297,Moor_Park_and_Eastbury,NA,51.62,-0.426
17323506,House_of_Lords_Library,NA,51.4986,-0.1243
17438760,Frieze_of_Parnassus,NA,51.5025,-0.17777778
20693362,Islamic_Centre_of_England,CMD,51.53527778,-0.18916667
17454211,Transport_House,WSM,51.4956,-0.1268
17557087,Shakespeare's_Globe_Centres,NA,51.508,-0.097
27936458,Alison_Jacques_Gallery,NA,51.51744,-0.13671
378138,Slimelight,NA,51.5325,-0.10527778
28388296,Brent_Valley_Golf_Club,NA,51.51597,-0.3402
18267830,Wood_Green_Animal_Shelters,HRY,51.5991455,-0.1015645
18580285,Orchard_Court,WSM,51.516,-0.1546
24462327,"The_French_House,_Soho",NA,51.5127,-0.1318
30439883,York_Mansions,NA,51.47598,-0.15317
4172742,House_of_Commons_Library,NA,51.4999,-0.1241
2492716,Albemarle_Club,WSM,51.50911111,-0.14191667
18930617,Bunjies,WSM,51.5128,-0.1284
32436414,Plantation_Place_South,NA,51.510462,-0.082633
19279043,Nonsuch_House,SWK,51.5075,-0.0871
19315320,Sandbag_(non-profit_organisation),LND,51.52072222,-0.09861111
19319282,Carlton_Theatre,WSM,51.5087,-0.1323
19357741,Savoy_Place,NA,51.50923,-0.12086
19415992,491_Gallery,WFT,51.567,0.0063
40009580,British_Dam_Society,NA,51.5011,-0.129
19743504,"Merchant_Taylors'_Hall,_London",LND,51.5141,-0.0854
30018824,South_Molton_Street,WSM,51.51361111,-0.14777778
